City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Saint-Augustin,CA,2021-05-27 21:12:38,51.226,-58.6502,47.8,77,100,13.15
165,Ust-Tsilma,RU,2021-05-27 21:12:38,65.441,52.1498,36.63,61,90,4.92
166,Lorengau,PG,2021-05-27 21:12:39,-2.0226,147.2712,79.16,85,100,6.42
167,Guider,CM,2021-05-27 21:12:39,9.9342,13.9486,89.89,30,36,3.56
168,Saskylakh,RU,2021-05-27 21:12:39,71.9167,114.0833,29.25,82,100,4.43
169,Arraial Do Cabo,BR,2021-05-27 21:12:14,-22.9661,-42.0278,73.26,78,0,4.61
170,Yuncheng,CN,2021-05-27 21:12:40,35.0231,110.9928,65.14,29,58,1.81
171,Tilichiki,RU,2021-05-27 21:12:40,60.4667,166.1,33.96,95,99,5.37
172,Eisenerz,AT,2021-05-27 21:12:41,47.5333,14.8833,44.44,98,100,4.88
173,Severo-Kurilsk,RU,2021-05-27 21:12:41,50.6789,156.125,39.49,84,90,9.95
174,Port Shepstone,ZA,2021-05-27 21:12:29,-30.7414,30.455,69.62,45,68,7.58
175,Auki,SB,2021-05-27 21:12:42,-8.7676,160.7034,76.41,86,100,3.13
176,Houma,US,2021-05-27 21:11:56,29.5958,-90.7195,87.8,68,40,11.5
177,Puerto Madero,MX,2021-05-27 21:12:42,14.7208,-92.4215,89.8,66,40,11.5
178,Hilo,US,2021-05-27 21:12:42,19.7297,-155.09,82.8,69,20,9.22
179,Bambous Virieux,MU,2021-05-27 21:12:43,-20.3428,57.7575,72.21,88,38,7.56
180,Morwell,AU,2021-05-27 21:12:43,-38.2333,146.4,45.41,91,100,4.29
181,La Ronge,CA,2021-05-27 21:12:43,55.1001,-105.2842,59.83,32,92,15.77
182,San Juan Bautista,PE,2021-05-27 21:12:44,-14.0108,-75.7358,60.17,55,72,10.76
183,Cherskiy,RU,2021-05-27 21:12:44,68.75,161.3,55.81,25,92,11.07
184,Sur,OM,2021-05-27 21:12:44,22.5667,59.5289,87.62,54,1,2.42
185,Victoria,HK,2021-05-27 21:10:42,22.2855,114.1577,86.32,85,99,5.01
186,Kaitangata,NZ,2021-05-27 21:12:45,-46.2817,169.8464,47.93,84,100,2.17
187,Yilan,TW,2021-05-27 21:12:45,24.757,121.753,83.08,99,100,1.74
188,Upernavik,GL,2021-05-27 21:12:46,72.7868,-56.1549,34.77,97,75,5.28
189,Stornoway,GB,2021-05-27 21:12:46,58.2093,-6.3865,50.94,87,100,5.75
190,Khatanga,RU,2021-05-27 21:12:46,71.9667,102.5,25.16,90,100,7.83
191,Gat,IL,2021-05-27 21:08:04,31.61,34.7642,77.4,76,0,2.55
192,Port Hedland,AU,2021-05-27 21:12:36,-20.3167,118.5667,75.25,46,100,9.22
193,Ayan,RU,2021-05-27 21:12:47,56.45,138.1667,37.18,77,100,6.17
194,Iqaluit,CA,2021-05-27 21:12:02,63.7506,-68.5145,34.7,69,93,15.01
195,Naryan-Mar,RU,2021-05-27 21:07:57,67.6713,53.087,39.43,52,100,15.88
196,Morondava,MG,2021-05-27 21:12:48,-20.2833,44.2833,70.07,80,0,9.82
197,Saint Anthony,US,2021-05-27 21:12:48,45.0205,-93.218,46.54,91,90,3.0
198,Sisimiut,GL,2021-05-27 21:10:42,66.9395,-53.6735,41.14,73,87,5.28
199,Ukiah,US,2021-05-27 21:12:48,39.1502,-123.2078,88.02,39,1,16.11
200,Duzce,TR,2021-05-27 21:12:49,40.8389,31.1639,64.06,75,100,2.55
201,Skjervoy,NO,2021-05-27 21:12:49,70.0311,20.9714,41.76,83,99,24.05
202,Cayenne,GF,2021-05-27 21:12:49,4.9333,-52.3333,77.09,88,90,1.99
203,Punta Cardon,VE,2021-05-27 21:12:50,11.6581,-70.215,82.94,70,95,27.38
204,Hambantota,LK,2021-05-27 21:09:58,6.1241,81.1185,80.37,81,99,22.95
205,Beloha,MG,2021-05-27 21:12:50,-25.1667,45.05,63.5,92,0,5.73
206,Tromso,NO,2021-05-27 21:10:37,69.6496,18.957,41.65,75,75,1.01
207,Teguldet,RU,2021-05-27 21:12:51,57.3064,88.1667,41.79,81,100,11.61
208,Narsaq,GL,2021-05-27 21:12:51,60.9167,-46.05,55.62,49,32,5.21
209,Nata,PA,2021-05-27 21:12:51,8.3333,-80.5167,80.47,70,96,9.73
210,Ponta Do Sol,PT,2021-05-27 21:12:52,32.6667,-17.1,66.83,64,57,3.96
211,Makakilo City,US,2021-05-27 21:09:16,21.3469,-158.0858,82.72,54,1,14.97
212,Tomatlan,MX,2021-05-27 21:12:52,19.9333,-105.25,92.68,39,90,11.3
213,Avera,US,2021-05-27 21:12:53,33.194,-82.5271,93.7,30,38,12.75
214,Bluff,NZ,2021-05-27 21:09:12,-46.6,168.3333,46.54,86,100,7.49
215,Kozhva,RU,2021-05-27 21:12:53,65.1073,57.0459,37.85,54,100,5.08
216,Marystown,CA,2021-05-27 21:12:53,47.1666,-55.1483,46.76,98,100,13.22
